France, Andretti, Lotus Ford, 01:13.7, 1977
Great Britain, Hunt, McLaren Ford, 01:19.6, 1977
Germany, Lauda, Ferrari, 01:56.0, 1977
Austria, Watson, Brabham Alfa Romeo, 01:41.0, 1977
Netherlands, Lauda, Ferrari, 01:20.0, 1977
Italy, Andretti, Lotus Ford, 01:39.1, 1977
USA East, Peterson, Tyrrell Ford, 01:51.9, 1977
Canada, Andretti, Lotus Ford, 01:13.3, 1977
Japan, Scheckter, Wolf Ford, 01:14.3, 1977
Argentina, Villeneuve, Ferrari, 01:49.8, 1978
Brazil, Reutemann, Ferrari, 01:43.1, 1978
South Africa, Andretti, Lotus Ford, 01:17.1, 1978
USA West, Jones, Williams Ford, 01:22.2, 1978
Monaco, Lauda, Brabham Alfa Romeo, 01:28.7, 1978
Belgium, Peterson, Lotus Ford, 01:23.1, 1978
Spain, Andretti, Lotus Ford, 01:20.1, 1978
Sweden, Lauda, Brabham Alfa Romeo, 01:24.8, 1978
France, Reutemann, Ferrari, 01:48.6, 1978
Great Britain, Lauda, Brabham Alfa Romeo, 01:18.6, 1978
Germany, Peterson, Lotus Ford, 01:55.6, 1978
Austria, Peterson, Lotus Ford, 01:43.1, 1978
Netherlands, Lauda, Brabham Alfa Romeo, 01:19.6, 1978
Italy, Andretti, Lotus Ford, 01:38.2, 1978
USA East, Jarier, Lotus Ford, 01:39.6, 1978
Canada, Jones, Williams Ford, 01:38.1, 1978
Argentina, Laffite, Ligier Ford, 01:46.9, 1979
Brazil, Laffite, Ligier Ford, 02:28.8, 1979
South Africa, Villeneuve, Ferrari, 01:14.4, 1979
USA West, Villeneuve, Ferrari, 01:21.2, 1979
Spain, Villeneuve, Ferrari, 01:16.4, 1979
Belgium, Villeneuve, Ferrari, 01:23.1, 1979
Monaco, Depailler, Ligier Ford, 01:28.8, 1979
France, Arnoux, Renault, 01:09.2, 1979
Great Britain, Regazzoni, Williams Ford, 01:14.4, 1979
Germany, Villeneuve, Ferrari, 01:51.9, 1979
Austria, Arnoux, Renault, 01:35.8, 1979
Netherlands, Villeneuve, Ferrari, 01:19.4, 1979
Italy, Regazzoni, Williams Ford, 01:35.6, 1979
Canada, Jones, Williams Ford, 01:31.3, 1979
USA East, Piquet, Brabham Ford, 01:40.1, 1979
Argentina, Jones, Williams Ford, 01:50.5, 1980
Brazil, Arnoux, Renault, 02:27.3, 1980
South Africa, Arnoux, Renault, 01:13.2, 1980
USA West, Piquet, Brabham Ford, 01:19.8, 1980
Belgium, Laffite, Ligier Ford, 01:20.9, 1980
Monaco, Reutemann, Williams Ford, 01:27.4, 1980
France, Jones, Williams Ford, 01:41.5, 1980
Great Britain, Pironi, Ligier Ford, 01:12.4, 1980
Germany, Jones, Williams Ford, 01:48.5, 1980
Austria, Arnoux, Renault, 01:32.5, 1980
Netherlands, Arnoux, Renault, 01:19.4, 1980
Italy, Jones, Williams Ford, 01:36.1, 1980
Canada, Pironi, Ligier Ford, 01:28.8, 1980
USA East, Jones, Williams Ford, 01:34.1, 1980
USA West, Jones, Williams Ford, 01:20.9, 1981
Brazil, Surer, Ensign Ford, 01:54.3, 1981
Argentina, Piquet, Brabham Ford, 01:45.3, 1981
San Marino, Villeneuve, Ferrari, 01:48.1, 1981
Belgium, Reutemann, Williams Ford, 01:23.3, 1981
Monaco, Jones, Williams Ford, 01:27.5, 1981
Spain, Jones, Williams Ford, 01:17.8, 1981
France, Prost, Renault, 01:09.1, 1981
Great Britain, Arnoux, Renault, 01:15.1, 1981
Germany, Jones, Williams Ford, 01:52.4, 1981
Austria, Laffite, Ligier Matra, 01:37.6, 1981
Netherlands, Jones, Williams Ford, 01:21.8, 1981
Italy, Reutemann, Williams Ford, 01:37.5, 1981
Canada, Watson, McLaren Ford, 01:49.5, 1981
Las Vegas, Pironi, Ferrari, 01:20.2, 1981
South Africa, Prost, Renault, 01:08.3, 1982
Brazil, Prost, Renault, 01:37.0, 1982
USA West, Lauda, McLaren Ford, 01:30.8, 1982
San Marino, Pironi, Ferrari, 01:35.0, 1982
Belgium, Watson, McLaren Ford, 01:20.2, 1982
Monaco, Patrese, Brabham Ford, 01:26.4, 1982
Detroit, Prost, Renault, 01:50.4, 1982
Canada, Pironi, Ferrari, 01:28.3, 1982
Netherlands, Warwick, Toleman Hart, 01:19.8, 1982
Great Britain, Henton, Tyrrell Ford, 01:13.0, 1982
France, Patrese, Brabham Ford, 01:40.1, 1982
Germany, Piquet, Brabham Ford, 01:54.0, 1982
Austria, Piquet, Brabham Ford, 01:33.7, 1982
Switzerland, Prost, Renault, 01:07.5, 1982
Italy, Arnoux, Renault, 01:33.6, 1982
Las Vegas, Alboreto, Tyrrell Ford, 01:19.6, 1982
Brazil, Piquet, Brabham BMW, 01:39.8, 1983
USA West, Lauda, McLaren TAG, 01:28.3, 1983
France, Prost, Renault, 01:42.7, 1983
San Marino, Patrese, Brabham BMW, 01:34.4, 1983
Monaco, Piquet, Brabham BMW, 01:27.3, 1983
Belgium, de Cesaris, Alfa Romeo, 02:07.5, 1983
Detroit, Watson, McLaren TAG, 01:47.7, 1983
Canada, Tambay, Ferrari, 01:30.9, 1983
Great Britain, Prost, Renault, 01:14.2, 1983
Germany, Arnoux, Ferrari, 01:53.9, 1983
Austria, Prost, Renault, 01:34.0, 1983
Netherlands, Arnoux, Ferrari, 01:19.9, 1983
Italy, Piquet, Brabham BMW, 01:34.4, 1983
Europe, Mansell, Lotus Ford, 01:14.3, 1983
South Africa, Piquet, Brabham BMW, 01:09.9, 1983
Brazil, Prost, McLaren TAG, 01:36.5, 1984
South Africa, Tambay, Renault, 01:08.9, 1984
Belgium, Arnoux, Ferrari, 01:19.3, 1984
San Marino, Piquet, Brabham BMW, 01:33.3, 1984
France, Prost, McLaren TAG, 01:05.3, 1984
Monaco, Senna, Toleman Hart, 01:54.3, 1984
Canada, Piquet, Brabham BMW, 01:28.8, 1984
Detroit, Warwick, Renault, 01:46.2, 1984
Dallas, Lauda, McLaren TAG, 01:45.4, 1984
Great Britain, Lauda, McLaren TAG, 01:13.2, 1984
Germany, Prost, McLaren TAG, 01:53.5, 1984
Austria, Lauda, McLaren TAG, 01:32.9, 1984
Netherlands, Arnoux, Ferrari, 01:19.5, 1984
Italy, Lauda, McLaren TAG, 01:31.9, 1984
Europe, Piquet, Brabham BMW, 01:23.1, 1984
Portugal, Lauda, McLaren TAG, 01:23.0, 1984
Brazil, Prost, McLaren TAG, 01:36.7, 1985
Portugal, Senna, Lotus Renault, 01:44.1, 1985
San Marino, Alboreto, Ferrari, 01:31.0, 1985
Monaco, Alboreto, Ferrari, 01:22.6, 1985
Canada, Senna, Lotus Renault, 01:27.4, 1985
Detroit, Senna, Lotus Renault, 01:45.6, 1985
France, Rosberg, Williams Honda, 01:39.9, 1985
Great Britain, Prost, McLaren TAG, 01:09.9, 1985
Germany, Lauda, McLaren TAG, 01:22.8, 1985
Austria, Prost, McLaren TAG, 01:29.2, 1985
Netherlands, Prost, McLaren TAG, 01:16.5, 1985
Italy, Mansell, Williams Honda, 01:28.3, 1985
